job_id,job_title,job_location,job_schedule_type,salary_year_avg,job_posted_date,company_name
448257,Analytics Engineer (L5) - Live Quality of Experience,Anywhere,Full-time,445000,01/12/2024 09:01,Netflix
217345,Financial & Data Analyst - Pricing (12 months Contract),Anywhere,Full-time and Contractor,385000,12/05/2024 16:32,Siemens
420010,Director of Engineering - Analytics,Anywhere,Full-time,296910,08/10/2024 13:45,Confluent
465683,Data Analyst,Anywhere,Full-time,264000,21/12/2024 06:19,Edge & Node
452509,AI Deep Learning Quantitative Analyst (Remote),Anywhere,Full-time,230000,06/12/2024 18:00,Nurp
122889,Product Data Analyst,Anywhere,Full-time,226500,09/03/2024 14:01,Get It Recruit - Information Technology
229343,"Head of FP&A, Data & Analytics",Anywhere,Full-time,224000,21/05/2024 09:05,Atlassian
113381,Principal Data Science Analyst - CDH - Remote at Mayo Clinic,Anywhere,Full-time,205420.7969,04/03/2024 14:04,Mayo Clinic
96272,Medical Analytics,Anywhere,Full-time,198500,23/02/2024 15:04,Pfizer
458616,Data Analyst (HR & Finance),Anywhere,Full-time,192000,14/12/2024 06:44,Smartcat
