account_key,account_id,customer_key,account_type,currency,balance,interest_rate_pct,account_status,opened_date
1,ACC-0001,221,Savings,EUR,14658.84,2.2,Active,2019-01-22
2,ACC-0002,793,Investment,GBP,13235.09,3.48,Active,2015-01-06
3,ACC-0003,743,Investment,NGN,457865.24,11.44,Active,2019-09-03
4,ACC-0004,2,Fixed Deposit,CAD,27563.96,5.05,Active,2022-03-05
5,ACC-0005,775,Investment,EUR,312086.3,8.65,Inactive,2019-09-09
6,ACC-0006,363,Loan,USD,-167349.61,5.7,Frozen,2016-03-03
7,ACC-0007,73,Fixed Deposit,NGN,53703.23,5.51,Inactive,2021-07-28
8,ACC-0008,206,Credit Card,CAD,-2033.51,23.26,Active,2018-02-27
9,ACC-0009,280,Current,GBP,33450.07,0.79,Active,2019-10-23
10,ACC-0010,220,Fixed Deposit,EUR,139453.85,5.38,Inactive,2018-06-23
11,ACC-0011,721,Current,NGN,88669.79,0.7,Active,2022-03-18
12,ACC-0012,422,Loan,NGN,-8996.04,15.42,Inactive,2015-03-18
13,ACC-0013,760,Loan,USD,-82724.7,10.51,Active,2022-10-10
14,ACC-0014,748,Savings,GBP,2735.13,1.74,Active,2022-07-07
15,ACC-0015,525,Loan,USD,-114712.3,16.1,Inactive,2023-11-25
16,ACC-0016,551,Credit Card,EUR,-10558.89,24.12,Active,2019-10-08
17,ACC-0017,236,Current,AUD,38113.28,0.65,Active,2015-06-12
18,ACC-0018,656,Loan,NGN,-175076.29,12.75,Active,2021-11-15
19,ACC-0019,212,Fixed Deposit,GBP,126747.66,8.19,Frozen,2021-03-21
20,ACC-0020,434,Credit Card,USD,-3530.01,16.93,Active,2018-03-20
21,ACC-0021,244,Savings,GBP,14116.66,4.9,Closed,2017-11-09
22,ACC-0022,741,Investment,USD,57819.12,7.95,Active,2020-11-03
23,ACC-0023,66,Credit Card,NGN,-1690.45,22.26,Active,2016-07-11
24,ACC-0024,561,Investment,GBP,258989.03,10.33,Active,2017-02-09
