transaction_key,transaction_id,date_key,customer_key,account_key,category_key,merchant_key,channel_key,amount,abs_amount,transaction_type,status,is_flagged,is_recurring
1,TXN-000001,20230821,486,46,5,16,3,-31.87,31.87,Expense,Completed,0,0
2,TXN-000002,20221028,356,864,2,11,6,-809.6,809.6,Expense,Completed,0,1
3,TXN-000003,20230813,56,928,10,,2,11958.49,11958.49,Income,Completed,0,1
4,TXN-000004,20241030,180,834,9,11,6,-283.36,283.36,Expense,Completed,0,0
5,TXN-000005,20240122,748,14,7,4,7,-356.1,356.1,Expense,Pending,0,0
6,TXN-000006,20230712,282,166,11,,6,404.69,404.69,Income,Pending,0,0
7,TXN-000007,20241013,94,552,7,15,7,-498.16,498.16,Expense,Completed,0,0
8,TXN-000008,20220521,61,608,13,,3,1932.74,1932.74,Transfer,Pending,0,0
9,TXN-000009,20240812,298,559,7,3,2,-97.69,97.69,Expense,Completed,1,0
10,TXN-000010,20220809,740,190,2,7,6,-2023.97,2023.97,Expense,Completed,0,1
11,TXN-000011,20230502,7,603,13,,5,3223.16,3223.16,Transfer,Completed,0,0
12,TXN-000012,20241118,435,653,4,12,3,-278.12,278.12,Expense,Pending,1,0
13,TXN-000013,20230108,407,83,4,19,6,-212.04,212.04,Expense,Completed,0,0
14,TXN-000014,20230921,587,238,5,2,2,-92.19,92.19,Expense,Completed,0,0
15,TXN-000015,20241231,675,581,8,5,3,-173.54,173.54,Expense,Completed,0,0
16,TXN-000016,20240121,441,830,18,7,5,-1555.02,1555.02,Expense,Completed,0,0
17,TXN-000017,20220526,28,981,2,12,4,-724.27,724.27,Expense,Failed,0,1
18,TXN-000018,20220912,370,187,3,8,6,-153.03,153.03,Expense,Completed,0,1
19,TXN-000019,20221113,108,358,17,3,4,-110.29,110.29,Expense,Completed,0,1
20,TXN-000020,20241109,775,5,3,4,1,-55.67,55.67,Expense,Completed,0,1
21,TXN-000021,20240527,549,646,20,,6,4686.77,4686.77,Income,Pending,0,0
22,TXN-000022,20230327,240,636,11,,1,385.8,385.8,Income,Completed,0,0
23,TXN-000023,20220725,426,973,11,,5,356.65,356.65,Income,Completed,0,0
24,TXN-000024,20220904,179,799,5,19,5,-74.03,74.03,Expense,Completed,0,0
25,TXN-000025,20230409,192,920,17,4,4,-135.99,135.99,Expense,Completed,0,1
26,TXN-000026,20241013,577,495,3,4,3,-57.07,57.07,Expense,Completed,0,1
27,TXN-000027,20231027,288,114,4,14,3,-264.56,264.56,Expense,Completed,0,0
28,TXN-000028,20220917,560,66,4,3,3,-46.26,46.26,Expense,Completed,0,0
29,TXN-000029,20240204,180,834,7,16,5,-230.71,230.71,Expense,Completed,1,0
30,TXN-000030,20240518,110,704,10,,1,5959.5,5959.5,Income,Completed,0,1
31,TXN-000031,20220103,774,389,8,19,7,-358.57,358.57,Expense,Completed,0,0
32,TXN-000032,20241029,313,424,10,,6,13434.01,13434.01,Income,Completed,0,1
33,TXN-000033,20241125,678,769,18,15,7,-433.61,433.61,Expense,Completed,0,0
34,TXN-000034,20221109,397,632,17,2,6,-138.6,138.6,Expense,Completed,0,1
35,TXN-000035,20240622,548,365,8,15,6,-466.71,466.71,Expense,Completed,0,0
36,TXN-000036,20230122,280,9,14,,7,-3303.76,3303.76,Transfer,Completed,0,0
37,TXN-000037,20220820,520,26,4,5,5,-145.36,145.36,Expense,Pending,0,0
38,TXN-000038,20230818,508,816,4,2,1,-26.3,26.3,Expense,Completed,0,0
39,TXN-000039,20240408,768,282,3,15,7,-457.58,457.58,Expense,Completed,0,1
40,TXN-000040,20240804,267,705,1,1,5,-470.95,470.95,Expense,Completed,0,0
41,TXN-000041,20240422,154,821,4,20,5,-480.25,480.25,Expense,Completed,0,0
42,TXN-000042,20220415,159,372,4,15,4,-426.13,426.13,Expense,Completed,0,0
43,TXN-000043,20240826,785,809,6,19,3,-68.19,68.19,Expense,Completed,0,0
44,TXN-000044,20220708,449,709,2,5,1,-2196.05,2196.05,Expense,Completed,0,1
45,TXN-000045,20240831,5,672,7,16,5,-340.26,340.26,Expense,Completed,0,0
46,TXN-000046,20220315,64,694,1,10,3,-100.42,100.42,Expense,Completed,0,0
47,TXN-000047,20220206,18,515,1,14,5,-288.5,288.5,Expense,Completed,0,0
48,TXN-000048,20240915,206,8,4,16,7,-347.15,347.15,Expense,Completed,0,0
49,TXN-000049,20221108,787,163,13,,5,641.65,641.65,Transfer,Completed,0,0
50,TXN-000050,20240814,789,193,4,9,6,-42.43,42.43,Expense,Completed,0,0
51,TXN-000051,20240809,484,664,1,7,5,-197.34,197.34,Expense,Completed,0,0
52,TXN-000052,20221201,423,629,9,4,2,-449.48,449.48,Expense,Completed,0,0
53,TXN-000053,20240201,461,870,10,,2,5192.79,5192.79,Income,Pending,0,1
54,TXN-000054,20220227,789,914,10,,5,6546.47,6546.47,Income,Completed,0,1
55,TXN-000055,20240107,418,453,2,15,5,-2783.92,2783.92,Expense,Completed,0,1
56,TXN-000056,20240907,155,462,5,11,6,-54.08,54.08,Expense,Completed,0,0
57,TXN-000057,20230316,662,233,13,,6,2814.63,2814.63,Transfer,Completed,0,0
58,TXN-000058,20240404,560,395,10,,6,9833.76,9833.76,Income,Completed,0,1
59,TXN-000059,20240419,477,388,4,9,1,-104.51,104.51,Expense,Completed,0,0
60,TXN-000060,20240315,270,759,10,,3,14647.2,14647.2,Income,Pending,0,1
61,TXN-000061,20230812,785,809,20,,1,5873.3,5873.3,Income,Completed,0,0
62,TXN-000062,20240505,638,178,20,,1,8274.61,8274.61,Income,Completed,0,0
63,TXN-000063,20220601,479,700,5,19,3,-14.46,14.46,Expense,Completed,0,0
64,TXN-000064,20220510,413,131,4,11,5,-425.81,425.81,Expense,Completed,0,0
65,TXN-000065,20220519,675,858,3,17,4,-375.55,375.55,Expense,Completed,0,1
66,TXN-000066,20230626,725,192,6,3,2,-113.0,113.0,Expense,Pending,0,0
67,TXN-000067,20240526,481,120,10,,4,3409.03,3409.03,Income,Completed,0,1
68,TXN-000068,20221121,674,32,7,14,4,-299.02,299.02,Expense,Completed,0,0
69,TXN-000069,20231002,404,473,5,4,6,-14.09,14.09,Expense,Completed,0,0
70,TXN-000070,20241109,733,121,3,16,7,-49.4,49.4,Expense,Completed,0,1
71,TXN-000071,20220311,598,90,10,,2,1708.49,1708.49,Income,Completed,0,1
72,TXN-000072,20241129,109,680,9,10,1,-176.79,176.79,Expense,Completed,0,0
73,TXN-000073,20240126,88,399,1,3,7,-66.45,66.45,Expense,Completed,0,0
74,TXN-000074,20230829,731,912,10,,2,2866.47,2866.47,Income,Completed,0,1
75,TXN-000075,20220613,408,1000,3,14,1,-92.31,92.31,Expense,Completed,0,1
76,TXN-000076,20240331,721,11,4,5,7,-297.23,297.23,Expense,Completed,0,0
77,TXN-000077,20220611,332,756,18,3,7,-1674.49,1674.49,Expense,Completed,0,0
78,TXN-000078,20240803,389,737,3,15,4,-257.4,257.4,Expense,Pending,0,1
79,TXN-000079,20220223,497,471,4,2,7,-176.01,176.01,Expense,Completed,0,0
80,TXN-000080,20240705,85,909,19,2,1,-170.34,170.34,Expense,Completed,0,0
81,TXN-000081,20230330,379,426,3,2,7,-104.2,104.2,Expense,Pending,0,1
82,TXN-000082,20230329,678,769,15,1,1,-566.62,566.62,Expense,Completed,0,1
83,TXN-000083,20240825,250,488,14,,7,-4763.3,4763.3,Transfer,Pending,0,0
84,TXN-000084,20240822,174,671,5,15,1,-114.84,114.84,Expense,Completed,0,0
85,TXN-000085,20230912,643,493,11,,3,374.5,374.5,Income,Completed,0,0
86,TXN-000086,20231129,461,804,14,,3,-2141.34,2141.34,Transfer,Completed,0,0
87,TXN-000087,20230426,613,601,3,14,1,-104.21,104.21,Expense,Completed,0,1
88,TXN-000088,20240727,508,816,12,,1,683.98,683.98,Income,Completed,0,0
89,TXN-000089,20220129,318,112,13,,7,2160.79,2160.79,Transfer,Completed,0,0
90,TXN-000090,20230325,622,906,2,5,5,-1474.75,1474.75,Expense,Completed,0,1
91,TXN-000091,20220705,397,632,1,2,1,-453.28,453.28,Expense,Completed,0,0
92,TXN-000092,20241019,60,645,10,,2,7547.66,7547.66,Income,Completed,0,1
93,TXN-000093,20220507,341,98,18,16,1,-2233.76,2233.76,Expense,Completed,0,0
94,TXN-000094,20231116,14,408,4,16,2,-64.43,64.43,Expense,Completed,0,0
95,TXN-000095,20241203,315,348,2,8,7,-547.06,547.06,Expense,Completed,0,1
96,TXN-000096,20220708,430,919,13,,5,4417.85,4417.85,Transfer,Pending,0,0
97,TXN-000097,20240412,269,304,4,10,3,-286.85,286.85,Expense,Completed,0,0
98,TXN-000098,20231222,692,392,1,13,5,-140.48,140.48,Expense,Completed,0,0
99,TXN-000099,20220410,675,245,11,,7,107.82,107.82,Income,Completed,0,0
100,TXN-000100,20231005,662,223,1,12,3,-343.32,343.32,Expense,Completed,0,0
101,TXN-000101,20241018,184,931,6,1,1,-95.31,95.31,Expense,Failed,0,0
102,TXN-000102,20221018,145,577,1,13,3,-49.1,49.1,Expense,Pending,0,0
103,TXN-000103,20240303,703,496,10,,7,4799.37,4799.37,Income,Completed,0,1
